node_id,lon,lat,type,node_osmid
132,-122.2568043,37.8755256,traffic_signals,53021369
133,-122.2687363,37.9040189,,53037759
134,-122.2759805,37.8884764,,4168241886
135,-122.2512197,37.8817661,,53111538
136,-122.2733142,37.9011875,,53091093
137,-122.2591794,37.8820193,,53080854
138,-122.2614929,37.8804498,,53080870
139,-122.2603387,37.880855,,53080872
140,-122.2722346,37.8900805,,53089076
141,-122.2648256,37.8808088,,53146430
142,-122.27653870000002,37.8888797,traffic_signals,53056335
143,-122.2750742,37.8891892,,53056336
144,-122.2725926,37.9041902,,53068625
145,-122.2747721,37.8892744,,53056337
146,-122.2658389,37.9034699,,53080916
147,-122.2706819,37.9019538,,53068629
148,-122.274822,37.8944966,,99332949
149,-122.2492622,37.89115510000001,stop,2536801113
150,-122.2524391,37.8856503,,53123929
151,-122.2516017,37.88353529999999,,53123941
152,-122.254901,37.8904432,,53025638
153,-122.2551016,37.8916685,,53025642
154,-122.2711425,37.8909424,,53056365
155,-122.2701433,37.8915852,,53056367
156,-122.26926670000002,37.89215640000001,,53056369
157,-122.2684931,37.8926475,,53056370
158,-122.26769509999998,37.89314810000001,,53056371
159,-122.2661777,37.8941214,,53056372
160,-122.2647011,37.8950666,,53056374
161,-122.2643362,37.895305,,53056376
162,-122.2634726,37.8958615,,53056378
163,-122.2722133,37.8890954,,239616902
164,-122.2724337,37.8900118,,239616908
165,-122.2621352,37.8876309,,53105549
166,-122.2583237,37.8753275,,52980624
167,-122.2637836,37.8940852,,53048210
168,-122.2725718,37.890162200000006,,239616920
169,-122.2620772,37.8918078,,53048217
170,-122.2685233,37.8948326,,53048220
171,-122.2665559,37.8947903,,53048223
172,-122.2655943,37.8944908,,53048225
173,-122.275595,37.8861308,,53044129
174,-122.2713143,37.8854714,traffic_signals,239616933
175,-122.27591540000002,37.8973682,,99333031
176,-122.27075259999998,37.8821433,,239616946
177,-122.2687534,37.8747886,,239616956
178,-122.2686517,37.873865,traffic_signals,239616965
179,-122.2781,37.9032584,stop,57846732
180,-122.2695305,37.88094829999999,,239616976
181,-122.2499512,37.88704970000001,,53079006
182,-122.2710692,37.8836694,stop,239616991
183,-122.2733146,37.8742091,,53093345
184,-122.2721875,37.874351,,53093346
185,-122.2765678,37.8987607,,99333091
186,-122.2710696,37.8744964,,53093347
187,-122.2686444,37.8748023,,53093350
188,-122.2536639,37.8815685,,53046247
189,-122.267594,37.8749338,,53093351
190,-122.2656358,37.8876079,,53087209
191,-122.2689605,37.8765963,,239617010
192,-122.277318,37.8992454,,99333110
193,-122.2688562,37.87569570000001,,239617017
194,-122.2690586,37.8774895,,239617021
195,-122.2691677,37.8784153,traffic_signals,239617025
196,-122.269373,37.88022410000001,traffic_signals,239617031
197,-122.2735517,37.8853825,,53095436
198,-122.2674669,37.903256,,53058576
199,-122.266547,37.9027607,,53058577
200,-122.27173159999998,37.8862006,,53095440
201,-122.2770808,37.900813,,99333139
202,-122.2655049,37.9021766,,53058580
203,-122.2705107,37.8819153,traffic_signals,239617045
204,-122.2620321,37.8995899,,53058582
205,-122.2533806,37.8814646,,53083161
206,-122.2522403,37.8813063,,53083162
207,-122.2615581,37.8988289,,53058586
208,-122.2643709,37.8863564,,53056543
209,-122.2766423,37.9013965,,99333151
210,-122.2642842,37.8854742,,53056545
211,-122.2652492,37.884432,,53056547
212,-122.2663196,37.883855,,53056551
213,-122.2582462,37.8987803,,53101617
214,-122.2776404,37.9028225,,99333173
215,-122.2780149,37.903316,stop,99333186
216,-122.276628,37.8988585,crossing,266712131
217,-122.2659585,37.8807046,,239500922
218,-122.2567182,37.8906201,,53062745
219,-122.2565712,37.889945,,53130350
220,-122.2759958,37.8889392,,239715475
221,-122.257345,37.8951441,,53138586
222,-122.273174,37.8833978,,53134492
223,-122.2727626,37.8797885,,53134495
224,-122.2725595,37.8779845,,53134496
225,-122.2755152,37.8889257,,239715494
226,-122.2675699,37.9008188,,53099698
227,-122.2493873,37.8873305,,53056716
228,-122.2749158,37.90273970000001,,53075160
229,-122.2741416,37.9030079,,53075161
230,-122.2585932,37.87670870000001,,1954677978
231,-122.2585561,37.876489,,1954677977
232,-122.26437450000002,37.8781797,,53062885
233,-122.2608871,37.8786272,,53062886
234,-122.2582088,37.8789769,,53062889
235,-122.2766308,37.8995037,,53095684
236,-122.2657888,37.9015062,,53040391
237,-122.2734697,37.8979879,,53095692
238,-122.2619659,37.8985164,,53040398
239,-122.260786,37.89758270000001,,53040399
240,-122.2603312,37.8972608,,53040401
241,-122.2578037,37.89423710000001,,53040405
242,-122.2625627,37.8810819,stop,53026098
243,-122.2621912,37.8793177,,53026099
244,-122.2723257,37.8902828,,99323189
245,-122.261573,37.882417,stop,53026102
246,-122.2615178,37.8819432,stop,53026105
247,-122.2604386,37.8819026,stop,53026106
248,-122.2610052,37.8993237,,53058899
249,-122.27456399999998,37.8940385,,99323240
250,-122.2767764,37.890014,,2072413546
251,-122.2698478,37.9044438,,98461043
252,-122.2693673,37.9042808,,98461061
253,-122.2644653,37.8790266,,59794830
254,-122.2588328,37.8797558,,53157267
255,-122.2688258,37.8857928,,53138890
256,-122.25489740000002,37.8845218,,59942347
257,-122.2687567,37.8851576,,53138895
258,-122.2525031,37.8826464,,258895312
259,-122.26820320000002,37.8803691,stop,53138900
260,-122.2680059,37.8785568,,53138903
261,-122.2532056,37.8839066,,258895327
262,-122.2623811,37.8936101,,53054947
263,-122.2560989,37.8842346,,269301221
264,-122.2584278,37.8927153,,53054953
265,-122.2642848,37.87737720000001,,53091823
266,-122.2559195,37.8910836,,53054961
267,-122.2607118,37.8777912,,53091826
268,-122.2588772,37.8780277,,53091828
269,-122.25324209999998,37.8897425,,53054966
270,-122.2566781,37.89542720000001,,53061110
271,-122.2547358,37.8937847,,53061113
272,-122.2614001,37.8800076,,53081605
273,-122.273518,37.8760156,,53091861
274,-122.2723532,37.8761652,,53091864
275,-122.271245,37.8763057,stop,53091865
276,-122.268848,37.8766114,,53091866
277,-122.2678056,37.8767415,,53091869
278,-122.2666677,37.8768836,,53091870
279,-122.2503777,37.8829333,,53081635
280,-122.26547340000002,37.8862236,,53147188
281,-122.2623676,37.8865696,stop,53147192
282,-122.268741,37.8928574,,53061182
283,-122.2705827,37.8931743,,53061184
284,-122.2720976,37.89345529999999,,53061185
285,-122.2727403,37.8928145,,53061189
286,-122.27279509999998,37.892443,,53061191
287,-122.2456725,37.8832166,,288988744
288,-122.2723981,37.8918485,,53061195
289,-122.2646242,37.879005600000006,,53149260
290,-122.2461949,37.883096,,288988750
291,-122.2695633,37.9035189,,53030484
292,-122.2671222,37.9019036,,53030491
293,-122.2664633,37.9010326,,53030498
294,-122.2657643,37.9000039,,53030500
295,-122.2746957,37.8931299,,99323492
296,-122.2649832,37.8992047,,53030503
297,-122.2662841,37.9036232,,53020263
298,-122.26217,37.8981005,,53030507
299,-122.26168429999998,37.8970079,,53030508
300,-122.2610571,37.8967488,,53030510
301,-122.2604872,37.8962828,,53030514
302,-122.263245,37.8905255,,53149300
303,-122.2581026,37.8939997,,53030518
304,-122.2566504,37.8925837,,53030520
305,-122.2636798,37.8809576,,53059193
306,-122.2637651,37.8820549,,53059192
307,-122.26349779999998,37.879149700000006,,53059195
308,-122.25488020000002,37.8915064,,53030524
309,-122.2630602,37.8792068,,53059197
310,-122.2539385,37.8909813,,53030526
311,-122.2523952,37.8904052,,53030527
312,-122.2522452,37.8899593,stop,53030528
313,-122.2628852,37.8783692,,53059198
314,-122.2513379,37.8870894,,53030530
315,-122.2627103,37.87752929999999,,53059199
316,-122.2634929,37.8834285,,53059204
317,-122.24927209999998,37.8858227,,53030533
318,-122.248611,37.8850002,,53030534
319,-122.2610676,37.8794656,traffic_signals,53149317
320,-122.2488568,37.8829445,,53030536
321,-122.2660088,37.8806533,,239500928
322,-122.2482625,37.8823044,,53030538
323,-122.2479497,37.8822253,,53030539
324,-122.2659471,37.8806179,,239500939
325,-122.26589950000002,37.8806648,,239500944
326,-122.2571372,37.878272,,239500951
327,-122.2542417,37.8924443,,53085848
328,-122.2540047,37.892271,,53085849
329,-122.2690543,37.8784275,traffic_signals,53096090
330,-122.2520545,37.8915298,,53085851
331,-122.2692581,37.880235,traffic_signals,53096092
332,-122.2695515,37.8813433,,53096093
333,-122.2689498,37.8774928,,53096087
334,-122.2555666,37.8876286,,53081759
335,-122.26977920000002,37.8838414,stop,53096096
336,-122.2627027,37.8843344,stop,53147299
337,-122.2699684,37.8856504,,53096101
338,-122.2700589,37.88644470000001,,53096103
339,-122.2698249,37.8879596,,53096106
340,-122.2766848,37.8913366,,2425028270
341,-122.2769961,37.8910852,,2425028275
342,-122.2517051,37.886281,,53145282
343,-122.2724091,37.8891281,,261736143
344,-122.2732154,37.8733381,traffic_signals,53055185
345,-122.2720926,37.8734606,,53055187
346,-122.2709149,37.8736107,traffic_signals,53055189
347,-122.2697939,37.8737446,,53055191
348,-122.2685366,37.8738795,traffic_signals,53055193
349,-122.267495,37.8740101,,53055194
350,-122.269524,37.9043312,stop,53030619
351,-122.2662911,37.8741498,traffic_signals,53055195
352,-122.2653843,37.8742511,,53055198
353,-122.262184,37.8748469,,53055200
354,-122.2601516,37.8750816,traffic_signals,53055202
355,-122.2714553,37.8783403,,249237231
356,-122.2576945,37.8781744,,239501052
357,-122.2767941,37.8900961,,53036804
358,-122.260438,37.8750341,,237133573
359,-122.27536409999998,37.8903016,,53036805
360,-122.2732639,37.8904314,,53036808
361,-122.257164,37.8788224,,239501066
362,-122.2725045,37.8902616,,53036811
363,-122.2731758,37.890631,,53036810
364,-122.27221609999998,37.8901183,,53036813
365,-122.272568,37.8901191,,56006411
366,-122.2762996,37.900551,,53110543
367,-122.2691795,37.8894831,stop,53036819
368,-122.2722446,37.8902326,,56006420
369,-122.2677038,37.8887894,,53036821
370,-122.2722467,37.8853527,,53122838
371,-122.266821,37.8882577,stop,53036823
372,-122.272978,37.8898172,,56006423
373,-122.27204740000002,37.883542,,53122842
374,-122.271634,37.879932200000006,stop,53122843
375,-122.2714188,37.8781261,stop,53122844
376,-122.2713389,37.8772142,,53122845
377,-122.2738369,37.89973300000001,,53110559
378,-122.27250159999998,37.8987536,,53110561
379,-122.2718085,37.8977206,,53110563
380,-122.2569762,37.8945948,,53143356
381,-122.2538815,37.89427360000001,,53038909
382,-122.2534216,37.893211,,53038910
383,-122.2721694,37.9040342,,99278653
384,-122.252864,37.8925027,,53038912
385,-122.277097,37.8914538,traffic_signals,2133315391
386,-122.2544269,37.8855499,,53094210
387,-122.2509998,37.8918606,,53038916
388,-122.2716757,37.896505,,53032789
389,-122.2728168,37.9030289,,53020507
390,-122.2583513,37.8772364,,239501147
391,-122.2632268,37.8864975,,53112672
392,-122.2573439,37.8773941,,239501153
393,-122.2705656,37.9030386,,53075819
394,-122.270313,37.9015929,,53075820
395,-122.2624316,37.876276,,2010214253
396,-122.2711065,37.8998277,,53075823
397,-122.2585085,37.8907085,,100548476
398,-122.2458334,37.8830036,stop,35719045
399,-122.2506226,37.89190429999999,,269109131
400,-122.27044840000002,37.8989359,,53075856
401,-122.2510513,37.89203,,269109138
402,-122.2507513,37.8920914,,269109139
403,-122.269927,37.898035,,53075858
404,-122.2692069,37.8953624,,53075863
405,-122.2714778,37.8858989,,239669144
406,-122.27272340000002,37.8972711,,53112729
407,-122.2670541,37.8920155,,53075867
408,-122.267122,37.8918344,,53075872
409,-122.2672223,37.8908097,,53075873
410,-122.2671212,37.8903502,,53075875
411,-122.2724033,37.8902925,,3652943780
412,-122.2667193,37.8887848,,53075877
413,-122.2723156,37.8971207,,53112743
414,-122.2665956,37.8860779,,53075880
415,-122.2664753,37.8851997,,53075882
416,-122.2661581,37.8824813,stop,53075885
417,-122.2657437,37.8788584,stop,53075887
418,-122.2655675,37.8774537,,53075888
419,-122.265618,37.87704420000001,,53075889
420,-122.2743423,37.88834310000001,,53112762
421,-122.27717659999998,37.9008473,,53086181
422,-122.2774298,37.8992029,,53086184
423,-122.276688,37.8987538,,53086186
424,-122.2760143,37.8973286,,53086191
425,-122.2740631,37.8946419,,99311604
426,-122.275073,37.89473140000001,,53086195
427,-122.27806000000001,37.87086,vn_sink,vn_sink
