link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
698,245,246,tertiary,52.907,25.0,2,3800,4.733991383199999,53026102,53026105,"LINESTRING (-122.261573 37.882417,-122.2615178 37.8819432)"
699,245,242,residential,241.149,20.0,1,1900,26.971792203,53026102,53026098,"LINESTRING (-122.261573 37.882417,-122.2616581 37.8824238,-122.2616964 37.8824332,-122.2619316 37.8825192,-122.2620205 37.8825335,-122.2622948 37.882518,-122.2624416 37.8824726,-122.2625225 37.8824246,-122.2625905 37.8823653,-122.2626284 37.882281,-122.2626412 37.8821788,-122.2626362 37.8817471,-122.2626037 37.8813322,-122.2625787 37.8811646,-122.2625665 37.8811018,-122.2625627 37.8810819)"
700,245,67,tertiary,110.663,25.0,2,3800,9.9018596488,53026102,53119366,"LINESTRING (-122.261573 37.882417,-122.2615959 37.8826653,-122.2616192 37.8829578,-122.2616349 37.8830295,-122.2616461 37.8830662,-122.261659 37.8830917,-122.2616647 37.8831031,-122.2617003 37.8831465,-122.2618729 37.8833576)"
701,246,245,tertiary,52.907,25.0,2,3800,4.733991383199999,53026105,53026102,"LINESTRING (-122.2615178 37.8819432,-122.261573 37.882417)"
702,246,247,residential,100.396,20.0,1,1900,11.228991412000001,53026105,53026106,"LINESTRING (-122.2615178 37.8819432,-122.2614591 37.8819685,-122.2612709 37.8820495,-122.2611717 37.882057,-122.2610392 37.8820374,-122.2608885 37.8819986,-122.2606465 37.8819271,-122.2605419 37.8819061,-122.2605323 37.8819058,-122.2604386 37.8819026)"
703,246,138,tertiary,166.924,25.0,2,3800,14.935958902400001,53026105,53080870,"LINESTRING (-122.2615178 37.8819432,-122.2615115 37.8818856,-122.2614945 37.8817297,-122.2614421 37.8812495,-122.2614411 37.8812404,-122.261453 37.8809764,-122.2614642 37.8808944,-122.2614952 37.8807627,-122.2615092 37.8807011,-122.261517 37.8806272,-122.2615158 37.8806177,-122.2615012 37.8805037,-122.2614929 37.8804498)"
704,247,246,residential,100.396,20.0,1,1900,11.228991412000001,53026106,53026105,"LINESTRING (-122.2604386 37.8819026,-122.2605323 37.8819058,-122.2605419 37.8819061,-122.2606465 37.8819271,-122.2608885 37.8819986,-122.2610392 37.8820374,-122.2611717 37.882057,-122.2612709 37.8820495,-122.2614591 37.8819685,-122.2615178 37.8819432)"
705,247,139,residential,116.826,20.0,1,1900,13.066637622,53026106,53080872,"LINESTRING (-122.2604386 37.8819026,-122.2604319 37.8818413,-122.260431 37.8818332,-122.2603538 37.8810813,-122.2603387 37.880855)"
706,247,17,residential,213.038,20.0,1,1900,23.827661186000004,53026106,53082217,"LINESTRING (-122.2604386 37.8819026,-122.2604929 37.8824394,-122.2605344 37.8825618,-122.2606137 37.882718,-122.2606757 37.8828563,-122.2607009 37.8829443,-122.2607057 37.8830294,-122.2606881 37.8830933,-122.2606361 37.8831627,-122.2605784 37.883201,-122.2604923 37.8832371,-122.2600251 37.8832899,-122.2599611 37.8833096,-122.2599101 37.8833411)"
707,248,207,residential,73.35300000000002,20.0,1,1900,8.204312991000002,53058899,53058586,"LINESTRING (-122.2610052 37.8993237,-122.2615581 37.8988289)"
708,248,29,residential,46.349,20.0,1,1900,5.183996603000001,53058899,57823425,"LINESTRING (-122.2610052 37.8993237,-122.2606863 37.899656)"
709,248,213,residential,283.595,20.0,1,1900,31.719249965000007,53058899,53101617,"LINESTRING (-122.2610052 37.8993237,-122.2604077 37.8993409,-122.2602782 37.8993736,-122.2600208 37.8994656,-122.2598559 37.8994796,-122.2597173 37.8994454,-122.2596175 37.8993787,-122.2594537 37.8992519,-122.2591148 37.8988597,-122.2589941 37.8987873,-122.2588244 37.8987238,-122.2586497 37.898692,-122.2584989 37.898699,-122.2583266 37.8987575,-122.2582462 37.8987803)"
710,249,54,tertiary,14.445,25.0,2,3800,1.292503932,99323240,360532247,"LINESTRING (-122.274564 37.8940385,-122.2746935 37.8941187)"
711,249,148,tertiary,55.801,25.0,2,3800,4.992939557600001,99323240,99332949,"LINESTRING (-122.274564 37.8940385,-122.274632 37.8941754,-122.2746831 37.894252,-122.2747681 37.8943907,-122.2747748 37.8944016,-122.274822 37.8944966)"
712,250,357,tertiary,9.26,25.0,2,3800,0.828562576,2072413546,53036804,"LINESTRING (-122.2767764 37.890014,-122.2767941 37.8900961)"
713,250,359,residential,128.023,20.0,1,1900,14.318988481,2072413546,53036805,"LINESTRING (-122.2767764 37.890014,-122.2766402 37.8900404,-122.2766107 37.8900458,-122.275498 37.8902669,-122.2754218 37.8902866,-122.2753641 37.8903016)"
714,250,142,tertiary,127.845,25.0,2,3800,11.439263772000002,2072413546,53056335,"LINESTRING (-122.2767764 37.890014,-122.2766168 37.8892426,-122.2765741 37.8890334,-122.2765387 37.8888797)"
715,251,393,tertiary,192.642,25.0,2,3800,17.2371438192,98461043,53075819,"LINESTRING (-122.2698478 37.9044438,-122.2699819 37.9044481,-122.2700744 37.9044375,-122.2701629 37.9044168,-122.2702709 37.9043692,-122.2703129 37.9043388,-122.2703548 37.9043084,-122.2704184 37.9042301,-122.270456 37.9041354,-122.2705547 37.9031155,-122.2705656 37.9030386)"
716,251,350,tertiary,31.151,25.0,2,3800,2.7873167176000004,98461043,53030619,"LINESTRING (-122.2698478 37.9044438,-122.2697485 37.9044206,-122.269694 37.9043994,-122.2696594 37.9043847,-122.269524 37.9043312)"
717,252,350,tertiary,14.847,25.0,2,3800,1.3284739272,98461061,53030619,"LINESTRING (-122.2693673 37.9042808,-122.2694312 37.9043015,-122.269524 37.9043312)"
718,252,133,tertiary,62.563,25.0,2,3800,5.597987088800001,98461061,53037759,"LINESTRING (-122.2693673 37.9042808,-122.2691565 37.9041882,-122.2687363 37.9040189)"
719,253,232,residential,94.508,20.0,1,1900,10.570436276,59794830,53062885,"LINESTRING (-122.2644653 37.8790266,-122.2643745 37.8781797)"
720,253,307,tertiary,86.01100000000002,25.0,2,3800,7.696057853600003,59794830,53059195,"LINESTRING (-122.2644653 37.8790266,-122.2634978 37.8791497)"
721,253,289,tertiary,14.140999999999998,25.0,2,3800,1.2653027416,59794830,53149260,"LINESTRING (-122.2644653 37.8790266,-122.264545 37.8790161,-122.2646242 37.8790056)"
722,254,62,tertiary,79.681,25.0,2,3800,7.129664645600001,53157267,4294455620,"LINESTRING (-122.2588328 37.8797558,-122.2581083 37.879852,-122.2579358 37.8798643)"
723,254,319,tertiary,198.778,25.0,2,3800,17.7861783728,53157267,53149317,"LINESTRING (-122.2588328 37.8797558,-122.2589329 37.8797428,-122.2609901 37.8794754,-122.2610676 37.8794656)"
724,254,234,residential,107.635,20.0,1,1900,12.038651845000002,53157267,53062889,"LINESTRING (-122.2588328 37.8797558,-122.2587578 37.8794536,-122.2587011 37.8793457,-122.2586365 37.8792576,-122.2585451 37.8791768,-122.2584562 37.8791162,-122.25835 37.8790548,-122.2582623 37.8790135,-122.2582088 37.8789769)"
725,254,139,residential,263.0,20.0,1,1900,29.415761000000003,53157267,53080872,"LINESTRING (-122.2588328 37.8797558,-122.2588466 37.8798205,-122.2588993 37.8803699,-122.2589138 37.8804416,-122.2589551 37.8804977,-122.2590014 37.8805325,-122.259076 37.8805514,-122.2591551 37.8805542,-122.2592275 37.8805455,-122.2598661 37.8803167,-122.2599771 37.8802912,-122.260081 37.8802898,-122.2601814 37.8803159,-122.2602556 37.8803797,-122.2602918 37.8804651,-122.2603198 37.8807069,-122.2603387 37.880855)"
726,255,339,residential,270.856,20.0,1,1900,30.294431032000002,53138890,53096106,"LINESTRING (-122.2688258 37.8857928,-122.2688476 37.8858566,-122.2689867 37.8870202,-122.2690302 37.8871465,-122.269128 37.8872866,-122.2692138 37.8873679,-122.2693168 37.8874288,-122.2694846 37.8874903,-122.269612 37.8875737,-122.26968 37.8876961,-122.2697132 37.887807,-122.2697623 37.8879024,-122.2697727 37.8879119,-122.2698249 37.8879596)"
727,255,75,residential,98.485,20.0,1,1900,11.015251795000001,53138890,53115322,"LINESTRING (-122.2688258 37.8857928,-122.2687538 37.8857976,-122.2677966 37.8859252,-122.2677185 37.8859356)"
728,255,21,residential,65.14399999999999,20.0,1,1900,7.286160968,53138890,239669366,"LINESTRING (-122.2688258 37.8857928,-122.2689419 37.8858009,-122.2694564 37.8857385,-122.2695502 37.8857009)"
729,255,257,residential,71.812,20.0,1,1900,8.031956764,53138890,53138895,"LINESTRING (-122.2688258 37.8857928,-122.2687944 37.8857271,-122.2687297 37.8852199,-122.2687567 37.8851576)"
730,256,34,residential,261.849,20.0,1,1900,29.287025103,59942347,53055700,"LINESTRING (-122.2548974 37.8845218,-122.2545628 37.8846005,-122.2544874 37.8845625,-122.2544385 37.8845136,-122.2543027 37.8842645,-122.2541165 37.8838468,-122.2535587 37.8826957)"
